example_id	category	capabilities	local_evidence	devnet_markers	contract_source	silverscript_status	compile_artifact_status	public_staging_status	external_equivalence_status
private_lane_asset_lifecycle	native_asset_lifecycle	issue;private_lane;encrypted_note_commitment;proof_policy_commitment;receipt_validation;one_input_one_output_transfer;covenant_continuation;resolver_valid	fixture_e2e_passes;native_asset_state_report;native_asset_transition_report	covenant funding accepted;native issue digest;native transition digest;production-ZK shape guard;resolver classification;view-key resolver classification	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
burn_authorised_lifecycle	native_asset_burn	burn_proof;authorised_deflation;supply_delta;continuation_burn;production_zk_burn_proof	native_transition_rejects_supply_inflation_and_deflation;continuation_accepts_explicit_burn_for_supported_production_zk_shape;prove_then_verify_allocation_1x1_burn_transition	native burn transition test pass;native burn continuation test pass;native burn allocation Groth16 proof;production-ZK burn proof	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
policy_migration_recovery	policy_migration	proof_policy_migration;continuation_metadata;receipt_policy_change;sled_recovery;resolver_valid	policy_migration_recovery_fixture_survives_reopen	policy migration fixture;policy migration resolver recovery;live policy migration recovery	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
allocation_audit_certificate_recovery	zk_allocation_audit	allocation_audit_bundle;canonical_certificate;self_contained_certificate;certificate_indexing;resolver_metadata;sled_recovery;groth16_stack_material;segmented_allocation_strategy;wallet_strategy_commitment;canonical_strategy_record_handoff	allocation_audit_certificate_canonical_encoding_round_trips;allocation_audit_certificate_canonical_self_contained_verifies;allocation_audit_certificate_record_attaches_to_spend;transitioned_valid_uses_latest_indexed_spent_outpoint;production_allocation_strategy_selects_fixed_and_segmented_paths;segmented_allocation_strategy_requires_conserving_nonempty_sides;production_allocation_strategy_commitment_binds_counts_and_segment_grid;production_allocation_strategy_record_round_trips_and_rejects_tamper	allocation audit bundle;allocation audit certificate;self-contained allocation audit certificate;indexed allocation audit certificate;persistent allocation audit certificate recovery;production allocation strategy fixed and segmented paths;segmented allocation strategy fail-closed validation;production allocation strategy commitment binding;production allocation strategy record handoff	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
fungible_batch_transfer_shapes	fungible_asset_shapes	multi_output_fanout_2x2;multi_input_merge_3x2;multi_input_merge_4x2;batch_transfer_4x4;production_zk_supported_shapes	fungible_multi_output_fanout_2x2_is_production_zk_supported;fungible_multi_input_merge_3x2_is_production_zk_supported;fungible_four_input_merge_4x2_is_production_zk_supported;fungible_batch_transfer_4x4_is_production_zk_supported	fungible fanout 2x2 test pass;fungible merge 3x2 test pass;fungible merge 4x2 test pass;fungible batch 4x4 test pass;4x2 allocation-vector VM proof;production-ZK 4x2 proof;4x4 allocation-vector VM proof;production-ZK 4x4 proof	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
metadata_ownership_guardrails	native_metadata_ownership	metadata_commitment;owner_commitment;ownership_handoff_authorization;semantic_owner_binding	native_issue_digest_binds_metadata_and_owner_commitments;native_transition_binds_authorized_ownership_handoff;native_transition_rejects_ownership_handoff_without_authorization	metadata owner digest test pass;ownership handoff test pass;ownership auth rejection test pass;native metadata commitment;native owner commitment;native transition owner commitments;semantic transition owner commitments	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
owner_control_policy_shapes	native_owner_control	owner_key_hash;script_hash_owner;covenant_id_owner;owner_key_rotation;ownership_authorization	owner_descriptor_commitments_bind_owner_control_shape;native_transition_binds_owner_key_rotation_descriptor	owner descriptor derivation test pass;owner key rotation test pass	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
advanced_covenant_policy_shapes	advanced_covenant_policy	payment_gated_transfer;escrow_release;vault_timelock;atomic_swap;covenant_owned_asset;policy_upgrade;controlled_termination;native_policy_commitment;wallet_execution_plan;canonical_execution_record_handoff	advanced_covenant_policy_shapes_have_unique_commitments;advanced_covenant_policy_shapes_fail_closed_on_missing_material;advanced_covenant_policy_commitment_binds_flow_and_material;advanced_covenant_execution_plans_validate_all_flows;advanced_covenant_execution_enforces_payment_and_timelock_rules;advanced_covenant_execution_commitment_binds_policy_and_evidence;advanced_covenant_execution_record_round_trips_and_rejects_tamper	advanced covenant policy unique commitments;advanced covenant policy fail-closed validation;advanced covenant policy commitment binding;advanced covenant execution all flows;advanced covenant execution fail-closed validation;advanced covenant execution commitment binding;advanced covenant execution record handoff	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
nft_collection_policy_shapes	native_nft_policy	collection_mint;fixed_supply;single_token_transfer;single_token_burn;terminal_1x0_burn;metadata_hash_preservation;royalty_policy_hook;collection_template_validation;production_zk_terminal_burn	nft_collection_policy_derives_fixed_supply_token_ids;nft_mint_issue_binds_collection_template_and_metadata;nft_single_token_transfer_preserves_metadata_and_owner_handoff;nft_burn_lifecycle_closes_token_without_successor_allocation;prove_then_verify_allocation_1x0_terminal_burn_transition	NFT collection policy test pass;NFT mint metadata test pass;NFT single-token transfer test pass;NFT terminal burn lifecycle test pass;NFT terminal burn allocation Groth16 proof;production-ZK NFT terminal burn proof	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
nft_marketplace_sale_policy	native_nft_marketplace_sale	marketplace_sale;price_commitment;payment_asset_binding;royalty_policy_binding;royalty_amount_bound;seller_buyer_handoff;sale_authorization	nft_marketplace_sale_binds_payment_royalty_and_owner_handoff	NFT marketplace sale test pass	silverscript_and_rust_toccata_fixture	silverscript_source_compiles	checked_silverscript_json_artifact	pending_public_staging	not_required_for_rgk_native_core
